file_id,organism,locus_tag,ess,conf,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9426824,0.8054907,0.98598284,0.9113853133333333
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.72955626,0.6024752,0.5123285,0.6147866533333334
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.83005,0.5730851,0.76028156,0.7211388866666667
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.11840639,0.4831608,0.004594278,0.2020538226666667
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.11555273,0.35382354,0.13415161,0.20117596000000001
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.056974504,0.06918536,0.027640997,0.05126695366666667
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.10182338,0.18970259,0.0022217827,0.09791591756666668
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.021700313,0.08413773,0.026268262,0.04403543499999999
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.5228594,0.2237269,0.64602625,0.4642041833333333
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.09111019,0.34389123,0.042048432,0.1590166173333333
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.1251921,0.07996775,0.40354607,0.20290197333333335
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.20039594,0.16159657,0.129728,0.16390683666666667
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.29460162,0.15193984,0.159453,0.20199815333333335
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.019153459,0.4667157,0.016554924,0.1674746943333333
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.009571488,0.12506512,0.036815193,0.05715060033333333
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.010579844,0.12730803,0.07369277,0.07052688133333333
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.028693758,0.45293882,0.10391451,0.19518236266666666
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.90160215,0.7254923,0.93802214,0.8550388633333332
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0448592,0.17291003,0.23573896,0.15116939666666665
