file_id,organism,locus_tag,ess,conf,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9232636,0.88642585,0.904844725
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.6539641,0.47517595,0.5645700250000001
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.89639914,0.90116656,0.8987828499999999
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.00992146,0.00670513,0.008313295
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9426824,0.98598284,0.96433262
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.72955626,0.5123285,0.62094238
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.83005,0.76028156,0.79516578
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.11840639,0.004594278,0.061500334000000004
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.11555273,0.13415161,0.12485217000000001
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.056974504,0.027640997,0.042307750500000005
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.10182338,0.0022217827,0.05202258135
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.021700313,0.026268262,0.0239842875
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.5228594,0.64602625,0.584442825
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.09111019,0.042048432,0.066579311
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.1251921,0.40354607,0.264369085
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.20039594,0.129728,0.16506197
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.29460162,0.159453,0.22702731
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.019153459,0.016554924,0.017854191499999998
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.009571488,0.036815193,0.0231933405
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.010579844,0.07369277,0.042136307000000005
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.028693758,0.10391451,0.066304134
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.90160215,0.93802214,0.919812145
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0448592,0.23573896,0.14029908
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.004922048,0.17146473,0.08819338900000001
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.7286309,0.6574645,0.6930476999999999
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.70242196,0.42100444,0.5617132
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.8545774,0.8623226,0.85845
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.93425894,0.8949517,0.9146053199999999
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.099523656,0.054830812,0.077177234
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.08944136,0.20081538,0.14512837
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.19140683,0.097109474,0.144258152
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.11458552,0.067512,0.09104876
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.005740397,0.111062944,0.058401670499999996
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.022563662,0.124886766,0.073725214
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.007835059,0.14714085,0.0774879545
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.090235226,0.017209059,0.0537221425
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.14324272,0.21407396,0.17865834
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.059705246,0.036734108,0.048219677
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.04993497,0.16091496,0.105424965
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.050869472,0.17341211,0.112140791
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.46509883,0.54495704,0.505027935
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.52009404,0.5633885,0.5417412699999999
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.29820856,0.15021817,0.224213365
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.33375448,0.322054,0.32790424
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.7224827,0.54188836,0.63218553
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.020409012,0.017739955,0.019074483500000003
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.11750927,0.31486118,0.216185225
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.10291031,0.26594675,0.18442853
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.019459523,0.014395049,0.016927286
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.84351635,0.77331114,0.808413745
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.76122195,0.71210134,0.7366616450000001
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9638328,0.81672364,0.89027822
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9171824,0.96077675,0.938979575
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.88530636,0.9226605,0.90398343
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9640713,0.90756845,0.935819875
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9728482,0.9775178,0.975183
