file_id,organism,locus_tag,ess,conf,conf_bos,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.049485322,0.008997709,0.0013703724,0.019951134466666666
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0027793439,0.041906424,0.09855221,0.04774599263333334
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.045393918,0.026401535,0.1886268,0.08680741766666666
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.02953284,0.00080636324,0.00019498689,0.010178063376666666
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.002656078,0.032846317,0.011775468,0.015759287666666667
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.012212112,0.031337485,0.0006742991,0.014741298699999997
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.55453247,0.5899247,0.037492864,0.3939833446666667
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.60639316,0.55415064,0.2501147,0.47021950000000007
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.026967278,0.14063184,0.0034869947,0.05702870423333334
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.38703245,0.079832196,0.012525815,0.15979682033333334
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.6763746,0.81455743,0.59042263,0.6937848866666667
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.009418483,0.0007998755,0.091199584,0.03380598083333333
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.51950806,0.35126644,0.042439315,0.304404605
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.30465195,0.046438858,0.0445799,0.13189023600000002
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.014521413,0.003957418,0.0144131435,0.0109639915
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.38583302,0.71406895,0.9648587,0.6882535566666667
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.73592687,0.32295677,0.7825756,0.6138197466666666
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9204164,0.8978026,0.96448666,0.9275685533333333
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.98670083,0.980839,0.9957379,0.9877592433333332
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9707615,0.9878349,0.97312003,0.9772388099999999
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.95448196,0.995911,0.9527732,0.9677220533333332
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9761841,0.9870646,0.9878016,0.9836834333333333
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9762453,0.99411434,0.91425854,0.9615393933333333
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.93111914,0.9729677,0.9830414,0.96237608
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.90393555,0.9743171,0.97803545,0.9520960333333334
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.985786,0.92122334,0.9546497,0.9538863466666667
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.900884,0.9095711,0.85501033,0.8884884766666667
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.7643567,0.99018025,0.95018655,0.9015745000000001
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9954471,0.9880127,0.9905256,0.9913284666666667
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.948618,0.97947687,0.985864,0.9713196233333333
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9350913,0.9830239,0.99142355,0.9698462499999999
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.0015104675,0.0033257976,0.00088253483,0.0019062666433333332
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.95890003,0.8785209,0.9747975,0.9374061433333333
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.113398015,0.72759163,0.31576154,0.3855837283333334
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.09810221,0.35435423,0.5743334,0.34226328
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.06764623,0.09630952,0.008421964,0.057459238
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9487891,0.99566084,0.99522483,0.9798915899999999
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.25607184,0.10357568,0.131442,0.16369650666666666
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.018375602,0.03249313,0.055719197,0.03552930966666667
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.0028104298,0.06576916,0.04644064,0.038340076599999995
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.00066715555,0.00020548851,0.00070245215,0.00052503207
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.35054716,0.32294628,0.22530645,0.29959996333333333
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.011968122,0.01222258,0.11704229,0.047077664
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.035498623,0.0015274195,0.00536382,0.014129954166666667
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.1315206,0.0019927276,0.0037784602,0.04576392926666666
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.018226389,0.0017334512,0.049477026,0.023145622066666666
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.7656289,0.5562717,0.7655562,0.6958189333333333
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.8089317,0.93094814,0.8760533,0.8719777133333334
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.97050744,0.97448,0.9820634,0.9756836133333334
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.0009203509,0.0022381502,0.0007274134,0.0012953048333333333
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.77904826,0.6320823,0.84518075,0.7521037700000001
