file_id,organism,locus_tag,ess,conf,conf_aamean,conf_bos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9438681,0.9094983,0.8953326,0.9162330000000001
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.99469984,0.9956623,0.9890723,0.9931448133333333
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.97301483,0.9934081,0.98927796,0.9852336300000001
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9531443,0.9462805,0.9947461,0.9647236333333332
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.48875925,0.80182624,0.90862375,0.7330697466666667
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.9494305,0.9983492,0.96644974,0.9714098133333332
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9760118,0.99016935,0.9887454,0.9849755166666666
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9144694,0.97079873,0.95966685,0.94831166
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9439103,0.8957649,0.9434226,0.9276992666666666
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.68412703,0.24470311,0.15541036,0.3614135
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.88737917,0.970851,0.8938564,0.9173621900000001
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.771445,0.39136818,0.9324468,0.6984199933333334
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.13861516,0.056469448,0.10098095,0.09868851933333334
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.032787103,0.102708384,0.0007221282,0.04540587173333333
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.64920837,0.9737984,0.9864231,0.8698099566666667
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.26508066,0.039248653,0.43084753,0.2450589476666667
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.013898117,0.069592565,0.0906933,0.058061327333333336
