file_id,organism,locus_tag,ess,conf,conf_aamean,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.13038187,0.06706953,0.10019984,0.16934851,0.1167499375
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.14491767,0.062027697,0.11638062,0.046930578,0.09256414125
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.85079145,0.78426045,0.63646173,0.82388264,0.7738490675
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.85230637,0.7347286,0.70442367,0.86980253,0.7903152925
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.8060747,0.9131037,0.82310236,0.83590347,0.8445460575
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.03817232,0.017013604,0.14283814,0.11611286,0.078534231
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.73852545,0.7071675,0.4245908,0.7527959,0.6557699125
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.058411803,0.030876113,0.11978841,0.056592546,0.066417218
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.2613394,0.24897183,0.17627428,0.27992767,0.241628295
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.012972639,0.01098271,0.09908047,0.024781272,0.03695427275
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.20763643,0.006641443,0.15592326,0.15497893,0.13129501575
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.14724201,0.032552544,0.27843547,0.054880723,0.12827768675
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.36573556,0.4292864,0.38744557,0.30280957,0.371319275
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.409135,0.3393434,0.5469882,0.23795342,0.383355005
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.7448426,0.7791228,0.40222448,0.80863345,0.6837058324999999
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.2922427,0.12790318,0.52241117,0.20769478,0.2875629575
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.09541289,0.06754308,0.25465828,0.028594054,0.111552076
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.018201951,0.003330742,0.08263068,0.069856435,0.043504952
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.09589394,0.056708947,0.23004659,0.14244655,0.13127400675
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.24580175,0.10104682,0.14960878,0.44396397,0.23510533
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.030123949,0.008691021,0.20729885,0.03520534,0.07032979
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.6168155,0.6446007,0.60650474,0.58044314,0.6120910199999999
