file_id,organism,locus_tag,ess,conf,conf_aamean,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.07541455,0.07348681,0.24742097,0.13210744333333332
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.110329375,0.13523771,0.092742726,0.112769937
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,0.033849142,0.006643545,0.054826237,0.03177297466666667
C018,Escherichia coli K-12 BW25113,BW25113_0142,1,0.58872986,0.5627669,0.6877509,0.6130825533333334
C018,Escherichia coli K-12 BW25113,BW25113_0143,0,0.536872,0.7052002,0.64000154,0.6273579133333334
C018,Escherichia coli K-12 BW25113,BW25113_0144,0,0.27823108,0.15286097,0.3337765,0.25495618333333336
C018,Escherichia coli K-12 BW25113,BW25113_0145,0,0.7716917,0.49164394,0.477615,0.5803168799999999
C018,Escherichia coli K-12 BW25113,BW25113_0146,0,0.07704054,0.05477879,0.17875786,0.10352573
C018,Escherichia coli K-12 BW25113,BW25113_0147,0,0.12676185,0.056249913,0.221038,0.13468325433333334
C018,Escherichia coli K-12 BW25113,BW25113_0148,0,0.44856486,0.19599052,0.5464996,0.3970183266666667
C018,Escherichia coli K-12 BW25113,BW25113_0149,0,0.5575387,0.43572286,0.42965987,0.4743071433333334
C018,Escherichia coli K-12 BW25113,BW25113_0150,0,0.027592978,0.16603969,0.13961521,0.111082626
C018,Escherichia coli K-12 BW25113,BW25113_0151,0,0.1826945,0.1398242,0.25273034,0.19174968000000003
C018,Escherichia coli K-12 BW25113,BW25113_0152,0,0.11893633,0.02131093,0.15048492,0.09691072666666667
C018,Escherichia coli K-12 BW25113,BW25113_0153,0,0.32629007,0.40050066,0.35441813,0.36040295333333333
C018,Escherichia coli K-12 BW25113,BW25113_0154,1,0.7720558,0.7151994,0.55154395,0.6795997166666666
C018,Escherichia coli K-12 BW25113,BW25113_0155,0,0.16210304,0.20653465,0.2274075,0.19868173
C018,Escherichia coli K-12 BW25113,BW25113_0156,1,0.8722112,0.8962568,0.76947975,0.8459825833333333
C018,Escherichia coli K-12 BW25113,BW25113_0157,0,0.30669966,0.02410262,0.19086881,0.17389036333333333
C018,Escherichia coli K-12 BW25113,BW25113_0158,0,0.14760497,0.0880742,0.36913696,0.20160537666666667
