file_id,organism,locus_tag,ess,conf,conf_bos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.63555145,0.77107185,0.7033116500000001
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.994228,0.0446335,0.51943075
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.04934157,0.01373823,0.0315399
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.039744493,0.01657449,0.0281594915
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.01835515,0.023169711,0.020762430499999998
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.11110657,0.030202936,0.070654753
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.0015569445,0.023022143,0.01228954375
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.0053295023,0.010458456,0.007893979150000001
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.056192555,0.011966166,0.0340793605
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.00027830518,0.06510104,0.032689672589999996
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.08550158,0.32479793,0.205149755
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.005841362,0.0074814768,0.0066614194
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.032565985,0.058391638,0.0454788115
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.0030885423,0.33311716,0.16810285115
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.010216096,0.19087406,0.10054507800000001
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.62046343,0.5407152,0.580589315
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.30686107,0.2853454,0.296103235
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.3253184,0.5953437,0.46033105
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.7498754,0.44282746,0.59635143
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.024148231,0.00940221,0.0167752205
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.0068647494,0.40889573,0.2078802397
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.09761205,0.18603852,0.14182528500000002
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.0067492714,0.11231989,0.059534580700000006
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.8255354,0.90938,0.8674577
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.62204844,0.854192,0.73812022
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.96409047,0.9614367,0.962763585
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.93708384,0.94811857,0.942601205
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.95855445,0.943342,0.950948225
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.87459946,0.99185365,0.9332265550000001
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.982768,0.9864829,0.98462545
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9438681,0.8953326,0.9196003500000001
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.99469984,0.9890723,0.9918860700000001
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.97301483,0.98927796,0.981146395
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9531443,0.9947461,0.9739452
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.48875925,0.90862375,0.6986915
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.9494305,0.96644974,0.95794012
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9760118,0.9887454,0.9823786
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9144694,0.95966685,0.9370681249999999
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9439103,0.9434226,0.94366645
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.68412703,0.15541036,0.41976869499999997
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.88737917,0.8938564,0.890617785
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.771445,0.9324468,0.8519459
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.13861516,0.10098095,0.11979805499999999
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.032787103,0.0007221282,0.016754615599999998
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.64920837,0.9864231,0.8178157349999999
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.26508066,0.43084753,0.34796409500000003
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.013898117,0.0906933,0.0522957085
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.24205199,0.015322297,0.1286871435
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.00070470775,0.09208621,0.046395458875000004
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.25046915,0.13764845,0.19405879999999998
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.003317379,0.006219046,0.0047682125
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.00026733443,0.032630187,0.016448760715
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.03400317,0.019379972,0.026691570999999997
