file_id,organism,locus_tag,ess,conf,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.38235545,0.031225737,0.20679059349999998
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0064067435,0.15168224,0.07904449175
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.049706396,0.010850505,0.030278450499999998
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.013084368,0.013080009,0.013082188500000001
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.011355342,0.0960736,0.053714471
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.0073983236,0.003028307,0.0052133153
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0022627616,0.021256303,0.0117595323
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0014062291,0.0006666394,0.00103643425
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.26635018,0.015784865,0.1410675225
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9157466,0.9771375,0.9464420499999999
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0031104276,0.009982854,0.0065466408
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0013364422,6.439515e-05,0.000700418675
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.2093381,0.43934125,0.324339675
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.29747108,0.8636613,0.58056619
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.63555145,0.95855194,0.797051695
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.994228,0.99156463,0.992896315
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.04934157,0.0075876107,0.02846459035
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.039744493,0.08613877,0.0629416315
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.01835515,0.009577901,0.0139665255
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.11110657,0.069349214,0.090227892
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.0015569445,0.01879509,0.01017601725
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.0053295023,0.0028405369,0.0040850196
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.056192555,0.0024622083,0.029327381649999998
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.00027830518,0.01480528,0.0075417925900000005
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.08550158,0.019771565,0.0526365725
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.005841362,0.09676056,0.051300961
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.032565985,0.20813525,0.12035061749999999
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.0030885423,0.031806618,0.017447580150000003
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.010216096,0.055457078,0.032836587
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.62046343,0.29533505,0.45789924000000004
