file_id,organism,locus_tag,ess,conf,conf_bos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9706334,0.9753914,0.9730124
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.33717942,0.34173593,0.339457675
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9597408,0.9839072,0.971824
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.04630608,0.035631668,0.040968874
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.97646546,0.9888265,0.98264598
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.79641354,0.72186136,0.75913745
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.8137802,0.7412384,0.7775093
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.058302432,0.110606976,0.08445470399999999
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.022950768,0.0069366507,0.01494370935
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.04713754,0.017382555,0.0322600475
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.09563959,0.002218331,0.0489289605
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.05732377,0.050745074,0.054034422
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.28448936,0.109924726,0.19720704300000003
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.14985491,0.0741274,0.11199115500000001
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.09471973,0.16142571,0.12807272
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.12586555,0.03322996,0.079547755
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.20476572,0.31540146,0.26008359000000003
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.03288317,0.018340165,0.0256116675
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.09731045,0.0031650898,0.05023776990000001
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.006716754,0.007626369,0.0071715615
