file_id,organism,locus_tag,ess,conf,conf_aamean,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.0021308183,0.0010751407,0.048874665,0.017360208
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.107112795,0.002170019,0.057077374,0.055453395999999995
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.13038187,0.06706953,0.16934851,0.12226663666666666
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.14491767,0.062027697,0.046930578,0.08462531499999999
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.85079145,0.78426045,0.82388264,0.8196448466666667
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.85230637,0.7347286,0.86980253,0.8189458333333333
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.8060747,0.9131037,0.83590347,0.8516939566666667
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.03817232,0.017013604,0.11611286,0.05709959466666667
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.73852545,0.7071675,0.7527959,0.7328296166666667
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.058411803,0.030876113,0.056592546,0.04862682066666666
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.2613394,0.24897183,0.27992767,0.2634129666666667
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.012972639,0.01098271,0.024781272,0.016245540333333332
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.20763643,0.006641443,0.15497893,0.12308560099999999
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.14724201,0.032552544,0.054880723,0.07822509233333333
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.36573556,0.4292864,0.30280957,0.36594384333333335
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.409135,0.3393434,0.23795342,0.32881060666666667
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.7448426,0.7791228,0.80863345,0.77753295
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.2922427,0.12790318,0.20769478,0.20928022000000002
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.09541289,0.06754308,0.028594054,0.063850008
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.018201951,0.003330742,0.069856435,0.030463042666666666
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.09589394,0.056708947,0.14244655,0.09834981233333333
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.24580175,0.10104682,0.44396397,0.26360418
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.030123949,0.008691021,0.03520534,0.02467343666666667
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.6168155,0.6446007,0.58044314,0.6139531133333334
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.6516317,0.65539443,0.6228175,0.64328121
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,0.21500055,0.03066554,0.24586065,0.16384224666666666
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,0.03273625,0.0026229224,0.036750372,0.024036514800000002
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,0.0146665685,0.0015562188,0.067958176,0.028060321099999997
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.07698291,0.018450258,0.33209014,0.14250776933333334
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.07541455,0.07348681,0.27543637,0.14144590999999998
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.110329375,0.13523771,0.05758857,0.10105188500000001
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,0.033849142,0.006643545,0.2910038,0.110498829
